Node ID,Node Path,Query,Refinement Link
1036682,Clothing & Accessories,,
2402554011,Clothing & Accessories/Baby,,See Available Refinements
1044510,Clothing & Accessories/Baby/Baby Boys,,See Available Refinements
2478436011,Clothing & Accessories/Baby/Baby Boys/Accessories,department_name:baby-boys AND item_type_keyword:infant-and-toddler-apparel-accessories,See Available Refinements
2478442011,Clothing & Accessories/Baby/Baby Boys/Accessories/Bibs & Burp Cloths,,See Available Refinements
2498736011,Clothing & Accessories/Baby/Baby Boys/Accessories/Bibs & Burp Cloths/Bibs,department_name:baby-boys AND item_type_keyword:baby-bibs,See Available Refinements
2498737011,Clothing & Accessories/Baby/Baby Boys/Accessories/Bibs & Burp Cloths/Burp Cloths,department_name:baby-boys AND item_type_keyword:baby-burp-cloths,See Available Refinements
2478443011,Clothing & Accessories/Baby/Baby Boys/Accessories/Gloves & Mittens,department_name:baby-boys AND item_type_keyword:infant-and-toddler-gloves-and-mittens,See Available Refinements
2478444011,Clothing & Accessories/Baby/Baby Boys/Accessories/Hats & Caps,department_name:baby-boys AND item_type_keyword:infant-and-toddler-hats,See Available Refinements
2475843011,Clothing & Accessories/Baby/Baby Boys/Accessories/Leg Warmers,department_name:baby-boys AND item_type_keyword:infant-and-toddler-leg-warmers,See Available Refinements
2478445011,Clothing & Accessories/Baby/Baby Boys/Accessories/Receiving Blankets,department_name:baby-boys AND item_type_keyword:nursery-receiving-blankets,See Available Refinements
1046202,Clothing & Accessories/Baby/Baby Boys/Accessories/Socks,department_name:baby-boys AND item_type_keyword:infant-and-toddler-socks,See Available Refinements
2478446011,Clothing & Accessories/Baby/Baby Boys/Accessories/Sunglasses,department_name:baby-boys AND item_type_keyword:infant-and-toddler-sunglasses,See Available Refinements
1044522,"Clothing & Accessories/Baby/Baby Boys/Bloomers, Diaper Covers & Underwear",,See Available Refinements
