Node ID,Node Path,Query
2617942011,"Arts, Crafts & Sewing",
2747968011,"Arts, Crafts & Sewing/Art Supplies",
2748212011,"Arts, Crafts & Sewing/Art Supplies/Art Paper",
12898121,"Arts, Crafts & Sewing/Art Supplies/Art Paper/Airbrush Paper",item_type_keyword:airbrush-paper
12898131,"Arts, Crafts & Sewing/Art Supplies/Art Paper/Charcoal Paper",item_type_keyword:charcoal-paper
12898171,"Arts, Crafts & Sewing/Art Supplies/Art Paper/Easel Pads",item_type_keyword:easel-pads
490939011,"Arts, Crafts & Sewing/Art Supplies/Art Paper/Loose Drawing Paper",item_type_keyword:loose-drawing-paper
12898201,"Arts, Crafts & Sewing/Art Supplies/Art Paper/Newsprint Paper",item_type_keyword:newsprint-paper
12898231,"Arts, Crafts & Sewing/Art Supplies/Art Paper/Pastel Paper",item_type_keyword:pastel-paper
12898291,"Arts, Crafts & Sewing/Art Supplies/Art Paper/Tracing Paper",item_type_keyword:tracing-paper
12898311,"Arts, Crafts & Sewing/Art Supplies/Art Paper/Watercolor Paper",item_type_keyword:watercolor-paper
12896211,"Arts, Crafts & Sewing/Art Supplies/Boards & Canvas",
12896221,"Arts, Crafts & Sewing/Art Supplies/Boards & Canvas/Banner & Sign Cloth",item_type_keyword:banner-and-sign-cloth
12896231,"Arts, Crafts & Sewing/Art Supplies/Boards & Canvas/Canvas Pads",item_type_keyword:canvas-pads
12896241,"Arts, Crafts & Sewing/Art Supplies/Boards & Canvas/Canvas Panels",item_type_keyword:canvas-panels
12896251,"Arts, Crafts & Sewing/Art Supplies/Boards & Canvas/Canvas Tools & Accessories",item_type_keyword:artists-canvas-tools-and-accessories
12896261,"Arts, Crafts & Sewing/Art Supplies/Boards & Canvas/Clayboard",item_type_keyword:clay-board
12896271,"Arts, Crafts & Sewing/Art Supplies/Boards & Canvas/Gessoboard",item_type_keyword:gesso-board
12896281,"Arts, Crafts & Sewing/Art Supplies/Boards & Canvas/Hardboard",item_type_keyword:hardboard
12896301,"Arts, Crafts & Sewing/Art Supplies/Boards & Canvas/Pastelboard",item_type_keyword:pastel-board
12896311,"Arts, Crafts & Sewing/Art Supplies/Boards & Canvas/Pre-Stretched Canvas",item_type_keyword:prestretched-art-canvas
12896331,"Arts, Crafts & Sewing/Art Supplies/Boards & Canvas/Rolled Canvas",item_type_keyword:rolled-art-canvas
12896351,"Arts, Crafts & Sewing/Art Supplies/Boards & Canvas/Wood Art Boards",item_type_keyword:wood-art-boards
12896641,"Arts, Crafts & Sewing/Art Supplies/Drawing",item_type_keyword:art-drawing-supplies
12896651,"Arts, Crafts & Sewing/Art Supplies/Drawing/Art Blenders",item_type_keyword:artists-blenders
12896661,"Arts, Crafts & Sewing/Art Supplies/Drawing/Art Sets",item_type_keyword:artists-drawing-sets
12896671,"Arts, Crafts & Sewing/Art Supplies/Drawing/Drawing & Lettering Aids",item_type_keyword:artists-drawing-aids
12896681,"Arts, Crafts & Sewing/Art Supplies/Drawing/Drawing Media",item_type_keyword:artists-drawing-media
12896691,"Arts, Crafts & Sewing/Art Supplies/Drawing/Drawing Media/Chalk",item_type_keyword:artists-chalks
12896701,"Arts, Crafts & Sewing/Art Supplies/Drawing/Drawing Media/Charcoals",item_type_keyword:artists-charcoals
12896711,"Arts, Crafts & Sewing/Art Supplies/Drawing/Drawing Media/Crayons",item_type_keyword:artists-crayons
12896721,"Arts, Crafts & Sewing/Art Supplies/Drawing/Drawing Media/Inks",item_type_keyword:artists-inks
12896731,"Arts, Crafts & Sewing/Art Supplies/Drawing/Drawing Media/Markers",item_type_keyword:artists-markers
12896741,"Arts, Crafts & Sewing/Art Supplies/Drawing/Drawing Media/Pastels",item_type_keyword:artists-pastels
12896751,"Arts, Crafts & Sewing/Art Supplies/Drawing/Drawing Media/Pencils",item_type_keyword:artists-pencils
12896761,"Arts, Crafts & Sewing/Art Supplies/Drawing/Drawing Media/Pens",item_type_keyword:artists-pens
12898161,"Arts, Crafts & Sewing/Art Supplies/Drawing/Drawing Pads & Books",item_type_keyword:drawing-pads-and-books
12896781,"Arts, Crafts & Sewing/Art Supplies/Drawing/Erasers",item_type_keyword:artist-supply-erasers
12896791,"Arts, Crafts & Sewing/Art Supplies/Drawing/Fixatives",item_type_keyword:artists-fixatives
12896801,"Arts, Crafts & Sewing/Art Supplies/Drawing/Light Boxes",item_type_keyword:artists-light-boxes
