Node ID,Node Path,Query
165797011,Baby Products,
2402554011,Baby Products/Apparel & Accessories,
1044510,Baby Products/Apparel & Accessories/Baby Boys,department_name:baby-boys AND item_type_keyword:infant-and-toddler-apparel
2478436011,Baby Products/Apparel & Accessories/Baby Boys/Accessories,department_name:baby-boys AND item_type_keyword:infant-and-toddler-apparel-accessories
2478442011,Baby Products/Apparel & Accessories/Baby Boys/Accessories/Bibs & Burp Cloths,
2498736011,Baby Products/Apparel & Accessories/Baby Boys/Accessories/Bibs & Burp Cloths/Bibs,department_name:baby-boys AND item_type_keyword:baby-bibs
2498737011,Baby Products/Apparel & Accessories/Baby Boys/Accessories/Bibs & Burp Cloths/Burp Cloths,department_name:baby-boys AND item_type_keyword:baby-burp-cloths
2478443011,Baby Products/Apparel & Accessories/Baby Boys/Accessories/Gloves & Mittens,department_name:baby-boys AND item_type_keyword:infant-and-toddler-gloves-and-mittens
2478444011,Baby Products/Apparel & Accessories/Baby Boys/Accessories/Hats & Caps,department_name:baby-boys AND item_type_keyword:infant-and-toddler-hats
2478445011,Baby Products/Apparel & Accessories/Baby Boys/Accessories/Receiving Blankets,department_name:baby-boys AND item_type_keyword:nursery-receiving-blankets
2478446011,Baby Products/Apparel & Accessories/Baby Boys/Accessories/Sunglasses,department_name:baby-boys AND item_type_keyword:infant-and-toddler-sunglasses
1044522,"Baby Products/Apparel & Accessories/Baby Boys/Bloomers, Diaper Covers & Underwear",
2237470011,"Baby Products/Apparel & Accessories/Baby Boys/Bloomers, Diaper Covers & Underwear/Bloomers",department_name:baby-boys AND item_type_keyword:infant-and-toddler-bloomers
2475846011,"Baby Products/Apparel & Accessories/Baby Boys/Bloomers, Diaper Covers & Underwear/Sets",department_name:baby-boys AND item_type_keyword:infant-and-toddler-underwear-sets
2475845011,"Baby Products/Apparel & Accessories/Baby Boys/Bloomers, Diaper Covers & Underwear/Training Pants",department_name:baby-boys AND item_type_keyword:infant-and-toddler-training-underwear
2475844011,"Baby Products/Apparel & Accessories/Baby Boys/Bloomers, Diaper Covers & Underwear/Undershirts",department_name:baby-boys AND item_type_keyword:infant-and-toddler-undershirts
2475847011,Baby Products/Apparel & Accessories/Baby Boys/Bodysuits & One Pieces,
1046184,Baby Products/Apparel & Accessories/Baby Boys/Bodysuits & One Pieces/Bodysuits,department_name:baby-boys AND item_type_keyword:infant-and-toddler-bodysuits
2475848011,Baby Products/Apparel & Accessories/Baby Boys/Bodysuits & One Pieces/Footies,department_name:baby-boys AND item_type_keyword:infant-and-toddler-bodysuit-footies
1044520,Baby Products/Apparel & Accessories/Baby Boys/Bodysuits & One Pieces/Rompers,department_name:baby-boys AND item_type_keyword:infant-and-toddler-rompers
2475823011,Baby Products/Apparel & Accessories/Baby Boys/Button-Down & Dress Shirts,department_name:baby-boys AND item_type_keyword:infant-and-toddler-button-down-shirts
2475849011,Baby Products/Apparel & Accessories/Baby Boys/Christening,department_name:baby-boys AND item_type_keyword:infant-and-toddler-christening-apparel
13698211,Baby Products/Apparel & Accessories/Baby Boys/Clothing Sets,department_name:baby-boys AND item_type_keyword:infant-and-toddler-clothing-sets
2475824011,Baby Products/Apparel & Accessories/Baby Boys/Hoodies & Active,
2475825011,Baby Products/Apparel & Accessories/Baby Boys/Hoodies & Active/Active Hoodies,department_name:baby-boys AND item_type_keyword:infant-and-toddler-hoodies
2475827011,Baby Products/Apparel & Accessories/Baby Boys/Hoodies & Active/Active Sets,department_name:baby-girls AND item_type_keyword:infant-and-toddler-sweatsuits
