Node ID,Node Path,Query
11055981,Beauty,
11055991,Beauty/Bath & Body,
11056211,Beauty/Bath & Body/Bath,item_type_keyword:bath-products
11056221,Beauty/Bath & Body/Bath/Bath Bombs,item_type_keyword:bath-bombs
11056231,Beauty/Bath & Body/Bath/Bath Pearls & Flakes,item_type_keyword:bath-pearls-and-flakes
11056241,Beauty/Bath & Body/Bath/Bubble Bath,item_type_keyword:bubble-baths
11056251,Beauty/Bath & Body/Bath/Minerals & Salts,item_type_keyword:bath-minerals-and-salts
11056261,Beauty/Bath & Body/Bath/Oils,item_type_keyword:bath-oils
11056271,Beauty/Bath & Body/Bath/Tub Tea,item_type_keyword:bathtub-teas
11056491,Beauty/Bath & Body/Bathing Accessories,item_type_keyword:bathing-accessories
11056501,Beauty/Bath & Body/Bathing Accessories/Bath Brushes,item_type_keyword:bath-brushes
11056511,Beauty/Bath & Body/Bathing Accessories/Bath Mitts & Cloths,item_type_keyword:bath-mitts-and-cloths
11056521,Beauty/Bath & Body/Bathing Accessories/Bath Pillows,item_type_keyword:bath-pillows
11056531,Beauty/Bath & Body/Bathing Accessories/Bath Trays,item_type_keyword:bath-trays
11056541,Beauty/Bath & Body/Bathing Accessories/Eye Masks,item_type_keyword:cooling-eye-masks
11056551,"Beauty/Bath & Body/Bathing Accessories/Loofahs, Sponges & Poufs",item_type_keyword:( bath-loofahs OR bath-sponges OR bath-poufs )
11056571,Beauty/Bath & Body/Bathing Accessories/Shower Caps,item_type_keyword:shower-caps
11056281,Beauty/Bath & Body/Cleansers,item_type_keyword:body-cleansers
11056291,Beauty/Bath & Body/Cleansers/Body Washes,item_type_keyword:bath-and-shower-gels
11056341,Beauty/Bath & Body/Cleansers/Soaps,item_type_keyword:bath-soaps
11056421,Beauty/Bath & Body/Scrubs & Body Treatments,item_type_keyword:body-scrubs-and-treatments
11056441,Beauty/Bath & Body/Scrubs & Body Treatments/Body Mud,item_type_keyword:body-muds
11056471,Beauty/Bath & Body/Scrubs & Body Treatments/Body Scrubs,item_type_keyword:body-scrubs
11056481,Beauty/Bath & Body/Scrubs & Body Treatments/Body Souffles & Mousse,item_type_keyword:( body-souffles OR body-mousses )
11056581,Beauty/Bath & Body/Sets,item_type_keyword:( bath-and-shower-product-sets OR toiletry-product-sets )
11056591,Beauty/Fragrance,
11056711,Beauty/Fragrance/Children's,item_type_keyword:personal-fragrances AND target_audience_keywords:children
11056761,Beauty/Fragrance/Men's,
11059721,Beauty/Fragrance/Men's/Cologne,item_type_keyword:colognes AND target_audience_keywords:men
363235011,Beauty/Fragrance/Men's/Eau de Parfum,item_type_keyword:eau-de-parfums AND target_audience_keywords:men
363236011,Beauty/Fragrance/Men's/Eau de Toilette,item_type_keyword:eau-de-toilettes AND target_audience_keywords:men
11059741,Beauty/Fragrance/Men's/Sets,item_type_keyword:fragrance-sets AND target_audience_keywords:men
11056891,Beauty/Fragrance/Sets,
11059741,Beauty/Fragrance/Sets/Men's,item_type_keyword:fragrance-sets AND target_audience_keywords:men
11057111,Beauty/Fragrance/Sets/Women's,item_type_keyword:fragrance-sets AND target_audience_keywords:women
11056931,Beauty/Fragrance/Women's,item_type_keyword:personal-fragrances AND target_audience_keywords:women
3783161,Beauty/Fragrance/Women's/Body Sprays,item_type_keyword:bath-and-shower-spray-fragrances AND thesaurus_attribute_keywords:scented AND target_audience_keywords:women
11057051,Beauty/Fragrance/Women's/Cologne,item_type_keyword:colognes AND target_audience_keywords:women
11057071,Beauty/Fragrance/Women's/Eau de Parfum,item_type_keyword:eau-de-parfums AND target_audience_keywords:women
11057081,Beauty/Fragrance/Women's/Eau de Toilette,item_type_keyword:eau-de-toilettes AND target_audience_keywords:women
11057091,Beauty/Fragrance/Women's/Essential Oils,item_type_keyword:personal-essential-oils AND target_audience_keywords:women
11057111,Beauty/Fragrance/Women's/Sets,item_type_keyword:fragrance-sets AND target_audience_keywords:women
11057241,Beauty/Hair Care,item_type_keyword:hair-care-products
11057251,Beauty/Hair Care/Conditioners,item_type_keyword:standard-hair-conditioners
11057431,Beauty/Hair Care/Hair & Scalp Treatments,item_type_keyword:hair-and-scalp-treatments
11057451,Beauty/Hair Care/Hair Color,item_type_keyword:hair-coloring-products
10728531,Beauty/Hair Care/Hair Color/Chemical Hair Dyes,item_type_keyword:chemical-hair-dyes
3781671,Beauty/Hair Care/Hair Color/Color Correctors,item_type_keyword:hair-color-correctors
3781651,Beauty/Hair Care/Hair Color/Color Primers,item_type_keyword:hair-color-primers
3781661,Beauty/Hair Care/Hair Color/Color Refreshers,item_type_keyword:hair-color-refreshers
3781641,Beauty/Hair Care/Hair Color/Hennas,item_type_keyword:hair-hennas
3781631,Beauty/Hair Care/Hair Color/Highlights,item_type_keyword:hair-highlighting-products
11057561,Beauty/Hair Care/Hair Loss Products,item_type_keyword:hair-growth-products
11057571,Beauty/Hair Care/Hair Loss Products/Conditioners,item_type_keyword:hair-regrowth-conditioners
11057581,Beauty/Hair Care/Hair Loss Products/Hair Regrowth Treatments,item_type_keyword:hair-regrowth-treatments
11057631,Beauty/Hair Care/Hair Loss Products/Shampoos,item_type_keyword:hair-regrowth-shampoos
3781871,Beauty/Hair Care/Hair Loss Products/Styling Products,item_type_keyword:hair-regrowth-styling-products
3781901,Beauty/Hair Care/Hair Perms & Texturizers,item_type_keyword:hair-permanent-products
3781941,Beauty/Hair Care/Hair Perms & Texturizers/After-Perm Shampoos,item_type_keyword:after-perm-shampoos
3781911,Beauty/Hair Care/Hair Perms & Texturizers/Home Permanent Kits,item_type_keyword:hair-permanent-kits
3799601,Beauty/Hair Care/Hair Perms & Texturizers/Texturizers,item_type_keyword:hair-permanent-texturizers
3781951,Beauty/Hair Care/Hair Relaxers,item_type_keyword:hair-relaxer-products
3781981,Beauty/Hair Care/Hair Relaxers/Activators,item_type_keyword:hair-relaxer-activators
3782001,Beauty/Hair Care/Hair Relaxers/Conditioners,item_type_keyword:hair-relaxer-conditioners
702373011,Beauty/Hair Care/Hair Relaxers/Creams,item_type_keyword:hair-relaxer-creams
702374011,Beauty/Hair Care/Hair Relaxers/Gels,item_type_keyword:hair-relaxer-gels
702375011,Beauty/Hair Care/Hair Relaxers/Lotions,item_type_keyword:hair-relaxer-lotions
3781991,Beauty/Hair Care/Hair Relaxers/Shampoos,item_type_keyword:hair-relaxer-shampoos
