Node ID,Node Path,Query,Refinement Link
493964,Electronics,,
281407,Electronics/Accessories & Supplies,,See Available Refinements
172532,Electronics/Accessories & Supplies/Audio & Video Accessories,,See Available Refinements
3224438011,Electronics/Accessories & Supplies/Audio & Video Accessories/3D Glasses,item_type_keyword:3d-eyewear,See Available Refinements
10966881,Electronics/Accessories & Supplies/Audio & Video Accessories/Antennas,item_type_keyword:electronics-antennas,See Available Refinements
172533,Electronics/Accessories & Supplies/Audio & Video Accessories/Antennas/Radio Antennas,item_type_keyword:radio-antennas,See Available Refinements
172665,Electronics/Accessories & Supplies/Audio & Video Accessories/Antennas/TV Antennas,item_type_keyword:video-antennas,See Available Refinements
172540,Electronics/Accessories & Supplies/Audio & Video Accessories/Cables & Interconnects,item_type_keyword:audio-video-cables-and-connectors,See Available Refinements
597566,Electronics/Accessories & Supplies/Audio & Video Accessories/Cables & Interconnects/Audio Cables,item_type_keyword:audio-cables,See Available Refinements
597550,Electronics/Accessories & Supplies/Audio & Video Accessories/Cables & Interconnects/Audio Cables/Digital Coaxial Cables,item_type_keyword:digital-coaxial-audio-cables,See Available Refinements
1288217011,Electronics/Accessories & Supplies/Audio & Video Accessories/Cables & Interconnects/Audio Cables/Fiber Optic Cables,item_type_keyword:fiber-optic-audio-cables,See Available Refinements
597546,Electronics/Accessories & Supplies/Audio & Video Accessories/Cables & Interconnects/Audio Cables/RCA Cables,item_type_keyword:rca-audio-cables,See Available Refinements
464416,Electronics/Accessories & Supplies/Audio & Video Accessories/Cables & Interconnects/Audio Cables/Speaker Cables,item_type_keyword:speaker-cables,See Available Refinements
3224439011,Electronics/Accessories & Supplies/Audio & Video Accessories/Cables & Interconnects/Audio Cables/Stereo Jack Cables,item_type_keyword:stereo-jack-cables,See Available Refinements
598586,Electronics/Accessories & Supplies/Audio & Video Accessories/Cables & Interconnects/Audio Cables/Subwoofer Cables,item_type_keyword:subwoofer-cables,See Available Refinements
597260,Electronics/Accessories & Supplies/Audio & Video Accessories/Cables & Interconnects/Power Cables,item_type_keyword:electronics-power-cables,See Available Refinements
464418,Electronics/Accessories & Supplies/Audio & Video Accessories/Cables & Interconnects/Video Cables,item_type_keyword:video-cables,See Available Refinements
597552,Electronics/Accessories & Supplies/Audio & Video Accessories/Cables & Interconnects/Video Cables/Component Video,item_type_keyword:component-video-cables,See Available Refinements
597554,Electronics/Accessories & Supplies/Audio & Video Accessories/Cables & Interconnects/Video Cables/Composite Video,item_type_keyword:composite-video-cables,See Available Refinements
3224440011,Electronics/Accessories & Supplies/Audio & Video Accessories/Cables & Interconnects/Video Cables/D-Terminal Cables,item_type_keyword:d-terminal-cables,See Available Refinements
202506011,Electronics/Accessories & Supplies/Audio & Video Accessories/Cables & Interconnects/Video Cables/DVI Cables,item_type_keyword:dvi-video-cables,See Available Refinements
3224441011,Electronics/Accessories & Supplies/Audio & Video Accessories/Cables & Interconnects/Video Cables/EIA Multiport Cables,item_type_keyword:eia-multiport-cables,See Available Refinements
597556,Electronics/Accessories & Supplies/Audio & Video Accessories/Cables & Interconnects/Video Cables/F-Pin-Coaxial Tip,item_type_keyword:coaxial-video-cables,See Available Refinements
464396,Electronics/Accessories & Supplies/Audio & Video Accessories/Cables & Interconnects/Video Cables/Firewire Cables,item_type_keyword:computer-firewire-cables,See Available Refinements
202505011,Electronics/Accessories & Supplies/Audio & Video Accessories/Cables & Interconnects/Video Cables/HDMI Cables,item_type_keyword:hdmi-cables,See Available Refinements
597558,Electronics/Accessories & Supplies/Audio & Video Accessories/Cables & Interconnects/Video Cables/S-Video Cables,item_type_keyword:s-video-cables,See Available Refinements
173243,Electronics/Accessories & Supplies/Audio & Video Accessories/Cleaning & Repair,item_type_keyword:electronics-cleaning-products,See Available Refinements
3224636011,Electronics/Accessories & Supplies/Audio & Video Accessories/Cleaning & Repair/Cleaning Cloths,item_type_keyword:electronics-cleaning-cloths,See Available Refinements
14084671,Electronics/Accessories & Supplies/Audio & Video Accessories/Cleaning & Repair/Disc Cleaners,item_type_keyword:dvd-cd-cleaners,See Available Refinements
14084701,Electronics/Accessories & Supplies/Audio & Video Accessories/Cleaning & Repair/Disc Repair Kits,item_type_keyword:cd-dvd-scratch-repair-kits,See Available Refinements
14084721,Electronics/Accessories & Supplies/Audio & Video Accessories/Cleaning & Repair/Head Cleaners,item_type_keyword:( tape-deck-head-cleaners OR vcr-head-cleaners ),See Available Refinements
14084681,Electronics/Accessories & Supplies/Audio & Video Accessories/Cleaning & Repair/Lens Cleaners,item_type_keyword:dvd-cd-lens-cleaners,See Available Refinements
3230978011,Electronics/Accessories & Supplies/Audio & Video Accessories/Conditional Access Modules,item_type_keyword:conditional-access-modules,See Available Refinements
172544,Electronics/Accessories & Supplies/Audio & Video Accessories/Connectors & Adapters,item_type_keyword:electronics-cable-connectors,See Available Refinements
11042391,Electronics/Accessories & Supplies/Audio & Video Accessories/Crossover Parts,item_type_keyword:audio-crossover-parts,See Available Refinements
