Node ID,Node Path,Query
3760931,Health & Personal Care,
10787321,Health & Personal Care/Baby & Child Care,
16014841,Health & Personal Care/Baby & Child Care/Diaper Care,
677974011,Health & Personal Care/Baby & Child Care/Diaper Care/Baby Wipes,item_type_keyword:( baby-wipes OR baby-wipe-refills )
166768011,Health & Personal Care/Baby & Child Care/Diaper Care/Diaper Pails & Refills,item_type_keyword:( diaper-pails OR diaper-pail-liners OR diaper-pail-deodorizers OR diaper-disposal-bags )
166772011,Health & Personal Care/Baby & Child Care/Diaper Care/Disposable Diapers,item_type_keyword:disposable-baby-diapers
166891011,Health & Personal Care/Baby & Child Care/Diaper Care/Training Pants,item_type_keyword:toilet-training-pants
16025501,Health & Personal Care/Baby & Child Care/Health Care,
16025581,Health & Personal Care/Baby & Child Care/Health Care/Allergy Medicine,item_type_keyword:childrens-allergy-medications
16025601,Health & Personal Care/Baby & Child Care/Health Care/Bandages,item_type_keyword:childrens-bandages
16225031,Health & Personal Care/Baby & Child Care/Health Care/Children's Vitamins,item_type_keyword:childrens-multivitamins
16025611,Health & Personal Care/Baby & Child Care/Health Care/Cold & Flu Remedies,item_type_keyword:childrens-cold-and-flu-medications
16025621,Health & Personal Care/Baby & Child Care/Health Care/Pain Relievers,
16026861,Health & Personal Care/Baby & Child Care/Health Care/Pain Relievers/Aspirin,item_type_keyword:childrens-aspirin
16026871,Health & Personal Care/Baby & Child Care/Health Care/Pain Relievers/Non-Aspirin,
16025631,Health & Personal Care/Baby & Child Care/Health Care/Pain Relievers/Non-Aspirin/Acetaminophen,item_type_keyword:childrens-acetaminophen
16025641,Health & Personal Care/Baby & Child Care/Health Care/Pain Relievers/Non-Aspirin/Ibuprofen,item_type_keyword:childrens-ibuprofen
16025511,Health & Personal Care/Baby & Child Care/Personal Care,
16023581,Health & Personal Care/Baby & Child Care/Personal Care/Baby Bath,item_type_keyword:baby-bathing-products
166740011,Health & Personal Care/Baby & Child Care/Personal Care/Baby Skin Care,item_type_keyword:baby-skin-care-products
322263011,Health & Personal Care/Baby & Child Care/Personal Care/Baby Skin Care/Diaper Creams,item_type_keyword:diaper-creams
322264011,Health & Personal Care/Baby & Child Care/Personal Care/Baby Skin Care/Lotions,item_type_keyword:( baby-lotions OR baby-bathing-cleansing-lotions )
322265011,Health & Personal Care/Baby & Child Care/Personal Care/Baby Skin Care/Oils,item_type_keyword:baby-oils
322266011,Health & Personal Care/Baby & Child Care/Personal Care/Baby Skin Care/Powders,item_type_keyword:baby-powders
16027261,Health & Personal Care/Baby & Child Care/Personal Care/Hair Care,
16027271,Health & Personal Care/Baby & Child Care/Personal Care/Hair Care/Conditioners,item_type_keyword:childrens-hair-conditioners
166739011,Health & Personal Care/Baby & Child Care/Personal Care/Hair Care/Shampoos,item_type_keyword:childrens-hair-shampoos
16225011,Health & Personal Care/Baby & Child Care/Personal Care/Nursing Pads,item_type_keyword:nursing-bra-pads
16023601,Health & Personal Care/Baby & Child Care/Personal Care/Oral Hygiene,
668893011,Health & Personal Care/Baby & Child Care/Personal Care/Oral Hygiene/Teething Relief,item_type_keyword:childrens-oral-pain-treatments
16026131,Health & Personal Care/Baby & Child Care/Personal Care/Oral Hygiene/Toothbrushes,item_type_keyword:childrens-toothbrushes
16026141,Health & Personal Care/Baby & Child Care/Personal Care/Oral Hygiene/Toothpaste,item_type_keyword:childrens-toothpastes
3764441,Health & Personal Care/Diet & Nutrition,
4075971,Health & Personal Care/Diet & Nutrition/Nutrition Bars & Drinks,
4075981,Health & Personal Care/Diet & Nutrition/Nutrition Bars & Drinks/Nutrition Bars,item_type_keyword:nutrition-bars
724758011,Health & Personal Care/Diet & Nutrition/Nutrition Bars & Drinks/Nutrition Drinks & Shakes,
13052761,Health & Personal Care/Diet & Nutrition/Nutrition Bars & Drinks/Nutrition Drinks & Shakes/Nutrition Drinks,item_type_keyword:nutrition-beverages
4076041,Health & Personal Care/Diet & Nutrition/Nutrition Bars & Drinks/Nutrition Drinks & Shakes/Nutrition Shakes,item_type_keyword:nutrition-shakes
13052811,Health & Personal Care/Diet & Nutrition/Nutrition Bars & Drinks/Nutrition Gels,item_type_keyword:nutrition-gels
10781141,Health & Personal Care/Diet & Nutrition/Sports Supplements,item_type_keyword:sports-nutritional-supplements
3773091,Health & Personal Care/Diet & Nutrition/Vitamins & Supplements,item_type_keyword:nutritional-supplements-and-vitamins
3774521,Health & Personal Care/Diet & Nutrition/Vitamins & Supplements/Antioxidants,item_type_keyword:antioxidant-nutritional-supplements
3774531,Health & Personal Care/Diet & Nutrition/Vitamins & Supplements/Antioxidants/Alpha Lipoic Acid,item_type_keyword:alpha-lipoic-acid-nutritional-supplements
3774541,Health & Personal Care/Diet & Nutrition/Vitamins & Supplements/Antioxidants/Antioxidant Formulas,item_type_keyword:antioxidant-formula-nutritional-supplements
3774551,Health & Personal Care/Diet & Nutrition/Vitamins & Supplements/Antioxidants/Beta Carotenes,item_type_keyword:beta-carotene-nutritional-supplements
3774561,Health & Personal Care/Diet & Nutrition/Vitamins & Supplements/Antioxidants/Coenzyme Q10,item_type_keyword:coenzyme-q10-nutritional-supplements
3774571,Health & Personal Care/Diet & Nutrition/Vitamins & Supplements/Antioxidants/Fruit Polyphenol Complex,item_type_keyword:fruit-polyphenol-complex
3774591,Health & Personal Care/Diet & Nutrition/Vitamins & Supplements/Antioxidants/Lutein,item_type_keyword:lutein-nutritional-supplements
3774601,Health & Personal Care/Diet & Nutrition/Vitamins & Supplements/Antioxidants/Lycopene,item_type_keyword:lycopene-nutritional-supplements
3774611,Health & Personal Care/Diet & Nutrition/Vitamins & Supplements/Antioxidants/Pine Bark Extract,item_type_keyword:pine-bark-extract
3774621,Health & Personal Care/Diet & Nutrition/Vitamins & Supplements/Antioxidants/Pycnogenol,item_type_keyword:pycnogenol-nutritional-supplements
