Node ID,Node Path,Query,Refinement Link
1063498,Home & Kitchen,,
3736081,Home & Kitchen/Artwork,item_type_keyword:artwork,See Available Refinements
13340241,Home & Kitchen/Artwork/Drawings,item_type_keyword:drawings,See Available Refinements
13340291,Home & Kitchen/Artwork/Drawings/Chalk Drawings,item_type_keyword:chalk-drawings,See Available Refinements
13340261,Home & Kitchen/Artwork/Drawings/Charcoal Drawings,item_type_keyword:charcoal-drawings,See Available Refinements
13340301,Home & Kitchen/Artwork/Drawings/Crayon Drawings,item_type_keyword:crayon-drawings,See Available Refinements
13340281,Home & Kitchen/Artwork/Drawings/Ink Drawings,item_type_keyword:ink-drawings,See Available Refinements
13340311,Home & Kitchen/Artwork/Drawings/Pastel Drawings,item_type_keyword:pastels-drawings,See Available Refinements
13340271,Home & Kitchen/Artwork/Drawings/Pencil Drawings,item_type_keyword:pencil-drawings,See Available Refinements
13341321,"Home & Kitchen/Artwork/Lithographs, Etchings & Woodcuts",item_type_keyword:printmaking-prints,See Available Refinements
13341361,"Home & Kitchen/Artwork/Lithographs, Etchings & Woodcuts/Etchings",item_type_keyword:etchings-prints,See Available Refinements
13341341,"Home & Kitchen/Artwork/Lithographs, Etchings & Woodcuts/Lithographs",item_type_keyword:lithographic-prints,See Available Refinements
13341351,"Home & Kitchen/Artwork/Lithographs, Etchings & Woodcuts/Serigraphs & Silkscreen Prints",item_type_keyword:serigraphic-prints,See Available Refinements
13341371,"Home & Kitchen/Artwork/Lithographs, Etchings & Woodcuts/Woodcut Prints",item_type_keyword:woodcuts-prints,See Available Refinements
13336081,Home & Kitchen/Artwork/Paintings,item_type_keyword:paintings,See Available Refinements
13337271,Home & Kitchen/Artwork/Paintings/Acrylic Paintings,item_type_keyword:acrylic-paintings,See Available Refinements
13337281,Home & Kitchen/Artwork/Paintings/Mixed-Media Paintings,item_type_keyword:mixed-media-paintings,See Available Refinements
13337251,Home & Kitchen/Artwork/Paintings/Oil Paintings,item_type_keyword:oil-paintings,See Available Refinements
13337261,Home & Kitchen/Artwork/Paintings/Watercolor Paintings,item_type_keyword:watercolor-paintings,See Available Refinements
13337971,Home & Kitchen/Artwork/Photographs,item_type_keyword:photographs,See Available Refinements
13338581,Home & Kitchen/Artwork/Photographs/Ambrotypes,item_type_keyword:ambrotypes,See Available Refinements
13338591,Home & Kitchen/Artwork/Photographs/Daguerreotypes,item_type_keyword:daguerreotypes,See Available Refinements
381142011,Home & Kitchen/Artwork/Posters & Prints,item_type_keyword:prints,See Available Refinements
1063236,Home & Kitchen/Bath,,See Available Refinements
3731671,Home & Kitchen/Bath/Bath Linen Sets,item_type_keyword:bath-linen-sets,See Available Refinements
1063242,Home & Kitchen/Bath/Bath Rugs,item_type_keyword:bath-rugs,See Available Refinements
3731771,Home & Kitchen/Bath/Bath Rugs/Bath Runners,item_type_keyword:bath-runners,See Available Refinements
3731781,Home & Kitchen/Bath/Bath Rugs/Contour Bath Rugs,item_type_keyword:contour-bath-rugs,See Available Refinements
1063238,Home & Kitchen/Bath/Bathroom Accessories,item_type_keyword:bathroom-accessories,See Available Refinements
3731911,Home & Kitchen/Bath/Bathroom Accessories/Bathroom Accessory Sets,item_type_keyword:bathroom-accessory-sets,See Available Refinements
13749901,Home & Kitchen/Bath/Bathroom Accessories/Bathroom Mirrors,item_type_keyword:bathroom-mirrors,See Available Refinements
85957011,Home & Kitchen/Bath/Bathroom Accessories/Bathroom Mirrors/Countertop Vanity Mirrors,item_type_keyword:countertop-bathroom-mirrors,See Available Refinements
85958011,Home & Kitchen/Bath/Bathroom Accessories/Bathroom Mirrors/Lighted Vanity Mirrors,item_type_keyword:lighted-bathroom-mirrors,See Available Refinements
3731931,Home & Kitchen/Bath/Bathroom Accessories/Bathtub Accessories,,See Available Refinements
85961011,Home & Kitchen/Bath/Bathroom Accessories/Bathtub Accessories/Bathtub Appliques,item_type_keyword:nonslip-appliques,See Available Refinements
85963011,Home & Kitchen/Bath/Bathroom Accessories/Bathtub Accessories/Bathtub Mats,item_type_keyword:bathmats,See Available Refinements
85966011,Home & Kitchen/Bath/Bathroom Accessories/Bathtub Accessories/Bathtub Trays,item_type_keyword:bathtub-valets,See Available Refinements
