Node ID,Node Path,Query,Refinement Link
165795011,Toys & Games,,
165993011,Toys & Games/Action & Toy Figures,,See Available Refinements
165994011,Toys & Games/Action & Toy Figures/Accessories,item_type_keyword:toy-figure-accessories,See Available Refinements
274292011,Toys & Games/Action & Toy Figures/Accessories/Gear & Weapons,,See Available Refinements
2514593011,Toys & Games/Action & Toy Figures/Accessories/Gear & Weapons/Gear,item_type_keyword:toy-figure-gear,See Available Refinements
2514594011,Toys & Games/Action & Toy Figures/Accessories/Gear & Weapons/Weapons,item_type_keyword:toy-figure-weapons,See Available Refinements
274293011,Toys & Games/Action & Toy Figures/Accessories/Vehicles,item_type_keyword:toy-figure-vehicles,See Available Refinements
2514571011,Toys & Games/Action & Toy Figures/Figures,item_type_keyword:toy-figures,See Available Refinements
166502011,Toys & Games/Action & Toy Figures/Figures/Bendables,item_type_keyword:bendable-toy-figures,See Available Refinements
166503011,Toys & Games/Action & Toy Figures/Figures/Bobbleheads,item_type_keyword:bobble-head-toy-figures,See Available Refinements
166506011,Toys & Games/Action & Toy Figures/Figures/Miniature Figures,item_type_keyword:miniature-toy-figures,See Available Refinements
166507011,Toys & Games/Action & Toy Figures/Playsets,item_type_keyword:toy-figure-playsets,See Available Refinements
166026011,"Toys & Games/Action & Toy Figures/Statues, Maquettes & Busts",,See Available Refinements
2514595011,"Toys & Games/Action & Toy Figures/Statues, Maquettes & Busts/Busts",item_type_keyword:toy-figure-busts,See Available Refinements
2514596011,"Toys & Games/Action & Toy Figures/Statues, Maquettes & Busts/Statues",item_type_keyword:toy-figure-statues,See Available Refinements
166057011,Toys & Games/Arts & Crafts,,See Available Refinements
166058011,Toys & Games/Arts & Crafts/Aprons & Smocks,,See Available Refinements
2528022011,Toys & Games/Arts & Crafts/Aprons & Smocks/Aprons,item_type_keyword:childrens-artist-aprons,See Available Refinements
2528023011,Toys & Games/Arts & Crafts/Aprons & Smocks/Smocks,item_type_keyword:childrens-artist-smocks,See Available Refinements
166059011,Toys & Games/Arts & Crafts/Art & Craft Sets,item_type_keyword:childrens-art-supply-sets,See Available Refinements
166060011,Toys & Games/Arts & Crafts/Beads,item_type_keyword:childrens-beading-supplies,See Available Refinements
166061011,Toys & Games/Arts & Crafts/Blackboards & Whiteboards,,See Available Refinements
676717011,Toys & Games/Arts & Crafts/Blackboards & Whiteboards/Chalkboards,item_type_keyword:childrens-chalkboards,See Available Refinements
676722011,Toys & Games/Arts & Crafts/Blackboards & Whiteboards/Dry Erase Boards,item_type_keyword:childrens-dry-erase-boards,See Available Refinements
676723011,Toys & Games/Arts & Crafts/Blackboards & Whiteboards/Dry Erase Markers,item_type_keyword:childrens-dry-erase-markers,See Available Refinements
166062011,Toys & Games/Arts & Crafts/Charcoals & Pastels,,See Available Refinements
