"id","name0","name1","name2","name3","name4","name5","name6","name7","name8","name9"
1,"Animals","Animals",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,"Animals > Live Animals","Animals","Live Animals",NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,"Animals > Pet Supplies","Animals","Pet Supplies",NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,"Animals > Pet Supplies > Bird Supplies","Animals","Pet Supplies","Bird Supplies",NULL,NULL,NULL,NULL,NULL,NULL
5,"Animals > Pet Supplies > Bird Supplies > Bird Cages & Stands","Animals","Pet Supplies","Bird Supplies","Bird Cages & Stands",NULL,NULL,NULL,NULL,NULL
6,"Animals > Pet Supplies > Bird Supplies > Bird Food","Animals","Pet Supplies","Bird Supplies","Bird Food",NULL,NULL,NULL,NULL,NULL
7,"Animals > Pet Supplies > Bird Supplies > Bird Ladders & Perches","Animals","Pet Supplies","Bird Supplies","Bird Ladders & Perches",NULL,NULL,NULL,NULL,NULL
8,"Animals > Pet Supplies > Bird Supplies > Bird Toys","Animals","Pet Supplies","Bird Supplies","Bird Toys",NULL,NULL,NULL,NULL,NULL
9,"Animals > Pet Supplies > Bird Supplies > Bird Treats","Animals","Pet Supplies","Bird Supplies","Bird Treats",NULL,NULL,NULL,NULL,NULL
10,"Animals > Pet Supplies > Cat Supplies","Animals","Pet Supplies","Cat Supplies",NULL,NULL,NULL,NULL,NULL,NULL
11,"Animals > Pet Supplies > Cat Supplies > Cat Apparel","Animals","Pet Supplies","Cat Supplies","Cat Apparel",NULL,NULL,NULL,NULL,NULL
12,"Animals > Pet Supplies > Cat Supplies > Cat Beds","Animals","Pet Supplies","Cat Supplies","Cat Beds",NULL,NULL,NULL,NULL,NULL
13,"Animals > Pet Supplies > Cat Supplies > Cat Bowls, Feeders & Waterers","Animals","Pet Supplies","Cat Supplies","Cat Bowls, Feeders & Waterers",NULL,NULL,NULL,NULL,NULL
14,"Animals > Pet Supplies > Cat Supplies > Cat Carriers & Crates","Animals","Pet Supplies","Cat Supplies","Cat Carriers & Crates",NULL,NULL,NULL,NULL,NULL
15,"Animals > Pet Supplies > Cat Supplies > Cat Collars & Harnesses","Animals","Pet Supplies","Cat Supplies","Cat Collars & Harnesses",NULL,NULL,NULL,NULL,NULL
16,"Animals > Pet Supplies > Cat Supplies > Cat Flea & Tick Control","Animals","Pet Supplies","Cat Supplies","Cat Flea & Tick Control",NULL,NULL,NULL,NULL,NULL
17,"Animals > Pet Supplies > Cat Supplies > Cat Food","Animals","Pet Supplies","Cat Supplies","Cat Food",NULL,NULL,NULL,NULL,NULL
18,"Animals > Pet Supplies > Cat Supplies > Cat Furniture","Animals","Pet Supplies","Cat Supplies","Cat Furniture",NULL,NULL,NULL,NULL,NULL
19,"Animals > Pet Supplies > Cat Supplies > Cat Grooming","Animals","Pet Supplies","Cat Supplies","Cat Grooming",NULL,NULL,NULL,NULL,NULL
20,"Animals > Pet Supplies > Cat Supplies > Cat Leashes","Animals","Pet Supplies","Cat Supplies","Cat Leashes",NULL,NULL,NULL,NULL,NULL
21,"Animals > Pet Supplies > Cat Supplies > Cat Litter","Animals","Pet Supplies","Cat Supplies","Cat Litter",NULL,NULL,NULL,NULL,NULL
22,"Animals > Pet Supplies > Cat Supplies > Cat Litter Boxes","Animals","Pet Supplies","Cat Supplies","Cat Litter Boxes",NULL,NULL,NULL,NULL,NULL
23,"Animals > Pet Supplies > Cat Supplies > Cat Toys","Animals","Pet Supplies","Cat Supplies","Cat Toys",NULL,NULL,NULL,NULL,NULL
24,"Animals > Pet Supplies > Cat Supplies > Cat Treats","Animals","Pet Supplies","Cat Supplies","Cat Treats",NULL,NULL,NULL,NULL,NULL
25,"Animals > Pet Supplies > Dog Supplies","Animals","Pet Supplies","Dog Supplies",NULL,NULL,NULL,NULL,NULL,NULL
26,"Animals > Pet Supplies > Dog Supplies > Dog Apparel","Animals","Pet Supplies","Dog Supplies","Dog Apparel",NULL,NULL,NULL,NULL,NULL
27,"Animals > Pet Supplies > Dog Supplies > Dog Beds","Animals","Pet Supplies","Dog Supplies","Dog Beds",NULL,NULL,NULL,NULL,NULL
28,"Animals > Pet Supplies > Dog Supplies > Dog Bowls, Feeders & Waterers","Animals","Pet Supplies","Dog Supplies","Dog Bowls, Feeders & Waterers",NULL,NULL,NULL,NULL,NULL
