Node ID,Node Path,Query
2619526011,Appliances,
510180,Appliances/Air Conditioners & Fans,
3737671,Appliances/Air Conditioners & Fans/Air Conditioners & Accessories,item_type_keyword:room-air-conditioners
3737761,Appliances/Air Conditioners & Fans/Air Conditioners & Accessories/Energy Star Qualified,item_type_keyword:energy-star-qualified-air-conditioners
3737741,Appliances/Air Conditioners & Fans/Air Conditioners & Accessories/Multiroom,item_type_keyword:multiroom-air-conditioners
3737681,Appliances/Air Conditioners & Fans/Air Conditioners & Accessories/Parts & Accessories,item_type_keyword:room-air-conditioner-replacement-parts
2232419011,Appliances/Air Conditioners & Fans/Air Conditioners & Accessories/Parts & Accessories/Fans,item_type_keyword:replacement-room-air-conditioner-fans
2232420011,Appliances/Air Conditioners & Fans/Air Conditioners & Accessories/Parts & Accessories/Filters,item_type_keyword:replacement-room-air-conditioner-filters
2232421011,Appliances/Air Conditioners & Fans/Air Conditioners & Accessories/Parts & Accessories/Knobs,item_type_keyword:replacement-room-air-conditioner-knobs
2232422011,Appliances/Air Conditioners & Fans/Air Conditioners & Accessories/Parts & Accessories/Motors,item_type_keyword:replacement-room-air-conditioner-motors
2232423011,Appliances/Air Conditioners & Fans/Air Conditioners & Accessories/Parts & Accessories/Power Cords,item_type_keyword:replacement-room-air-conditioner-power-cords
1193678,Appliances/Air Conditioners & Fans/Air Conditioners & Accessories/Portable,item_type_keyword:portable-air-conditioners
3737751,Appliances/Air Conditioners & Fans/Air Conditioners & Accessories/Single-Room,item_type_keyword:single-room-air-conditioners
3737701,Appliances/Air Conditioners & Fans/Air Conditioners & Accessories/Slider Casement,item_type_keyword:slider-casement-air-conditioners
3737711,Appliances/Air Conditioners & Fans/Air Conditioners & Accessories/Wall,item_type_keyword:through-the-wall-air-conditioners
3737721,Appliances/Air Conditioners & Fans/Air Conditioners & Accessories/Window,item_type_keyword:window-air-conditioners
495362,Appliances/Air Conditioners & Fans/Ceiling Fans & Accessories,
495364,Appliances/Air Conditioners & Fans/Ceiling Fans & Accessories/Accessories,item_type_keyword:ceiling-fan-accessories
2054340011,Appliances/Air Conditioners & Fans/Ceiling Fans & Accessories/Accessories/Down Rods,item_type_keyword:ceiling-fan-down-rods
2054338011,Appliances/Air Conditioners & Fans/Ceiling Fans & Accessories/Accessories/Remote Controls,item_type_keyword:ceiling-fan-remote-controls
3736701,Appliances/Air Conditioners & Fans/Ceiling Fans & Accessories/Ceiling Fan Lights,item_type_keyword:ceiling-fan-light-kits
404433011,Appliances/Air Conditioners & Fans/Ceiling Fans & Accessories/Ceiling Fans,item_type_keyword:ceiling-fans
3737601,Appliances/Air Conditioners & Fans/Household Fans,item_type_keyword:electric-household-fans
3737621,Appliances/Air Conditioners & Fans/Household Fans/Pedestal Fans,item_type_keyword:electric-household-pedestal-fans
3737631,Appliances/Air Conditioners & Fans/Household Fans/Table Fans,item_type_keyword:electric-household-tabletop-fans
241127011,Appliances/Air Conditioners & Fans/Household Fans/Tower Fans,item_type_keyword:electric-household-tower-fans
3737641,Appliances/Air Conditioners & Fans/Household Fans/Window Fans,item_type_keyword:electric-household-window-fans
267554011,Appliances/Air Purifiers,item_type_keyword:air-purifiers
510196,Appliances/Air Purifiers/Air Ionizers,item_type_keyword:ionizer-air-purifiers
3737411,Appliances/Air Purifiers/Charcoal Air Purifiers,item_type_keyword:charcoal-prefilter-air-purifiers
3737421,Appliances/Air Purifiers/Electrostatic Air Purifiers,item_type_keyword:electrostatic-filter-air-purifiers
510192,Appliances/Air Purifiers/HEPA Air Purifiers,item_type_keyword:hepa-filter-air-purifiers
3737401,Appliances/Air Purifiers/Parts & Accessories,item_type_keyword:air-purifier-accessories
510194,Appliances/Air Purifiers/Parts & Accessories/Replacement Filters,item_type_keyword:air-purifier-replacement-filters
3737451,Appliances/Air Purifiers/Travel-Size Air Purifiers,item_type_keyword:travel-size-air-purifiers
3737431,Appliances/Air Purifiers/ULPA Air Purifiers,item_type_keyword:ulpa-filter-air-purifiers
2686378011,Appliances/Beer Keg Refrigerators,item_type_keyword:keg-refrigerators
2686328011,Appliances/Beverage Refrigerators,item_type_keyword:beverage-cooler-refrigerators
678542011,Appliances/Compact Refrigerators,item_type_keyword:compact-refrigerators
3741261,Appliances/Cooktops,item_type_keyword:cooktops
267557011,Appliances/Dehumidifiers,item_type_keyword:dehumidifiers
3741271,Appliances/Dishwashers,item_type_keyword:dishwashers
3741281,Appliances/Dishwashers/Built-In Dishwashers,item_type_keyword:built-in-dishwashers
3741291,Appliances/Dishwashers/Convertible Dishwashers,item_type_keyword:convertible-dishwashers
3741301,Appliances/Dishwashers/Portable Dishwashers,item_type_keyword:portable-dishwashers
3741311,Appliances/Dishwashers/Specialty Dishwashers,item_type_keyword:specialty-dishwashers
680343011,Appliances/Food Disposers,item_type_keyword:food-waste-disposers
3741331,Appliances/Freezers,item_type_keyword:freezers
3741341,Appliances/Freezers/Chest Freezers,item_type_keyword:chest-freezers
3741351,Appliances/Freezers/Upright Freezers,item_type_keyword:upright-freezers
267555011,Appliances/Humidifiers,item_type_keyword:humidifiers
3737581,Appliances/Humidifiers/Energy Star Qualified Humidifiers,item_type_keyword:energy-star-qualified-humidifiers
3737591,Appliances/Humidifiers/Travel-Size Humidifiers,item_type_keyword:travel-size-humidifiers
2399939011,Appliances/Ice Makers,item_type_keyword:free-standing-ice-makers
510240,"Appliances/Irons, Steamers & Accessories",item_type_keyword:ironing-products
3737851,"Appliances/Irons, Steamers & Accessories/Ironing Accessories",item_type_keyword:ironing-accessories
3737871,"Appliances/Irons, Steamers & Accessories/Ironing Board Covers",item_type_keyword:ironing-board-covers
510246,"Appliances/Irons, Steamers & Accessories/Ironing Boards",item_type_keyword:ironing-boards
3737841,"Appliances/Irons, Steamers & Accessories/Ironing Sets",item_type_keyword:ironing-product-sets
510242,"Appliances/Irons, Steamers & Accessories/Irons",item_type_keyword:irons
13841471,"Appliances/Irons, Steamers & Accessories/Irons/Automatic Turnoff Irons",item_type_keyword:automatic-turnoff-irons
602618,"Appliances/Irons, Steamers & Accessories/Irons/Travel Irons",item_type_keyword:travel-irons
3737861,"Appliances/Irons, Steamers & Accessories/Steam Generator Accessories",item_type_keyword:clothes-steam-generator-accessories
510248,"Appliances/Irons, Steamers & Accessories/Steam Generators",item_type_keyword:clothes-steam-generators
3737831,"Appliances/Irons, Steamers & Accessories/Travel Steam Generators",item_type_keyword:travel-steam-generators
3737881,"Appliances/Irons, Steamers & Accessories/Trouser Pressers",item_type_keyword:trouser-pressers
289935,Appliances/Microwave Ovens,item_type_keyword:microwave-ovens
3741621,Appliances/Microwave Ovens/Compact Microwave Ovens,item_type_keyword:compact-microwave-ovens
3741631,Appliances/Microwave Ovens/Countertop Microwave Ovens,item_type_keyword:countertop-microwave-ovens
3741641,Appliances/Microwave Ovens/Microhood Microwave Ovens,item_type_keyword:microhood-microwave-ovens
3741611,Appliances/Microwave Ovens/Over-the-Range Microwave Ovens,item_type_keyword:built-in-microwave-ovens
3741651,Appliances/Microwave Ovens/Speed-Cooking Microwave Ovens,item_type_keyword:speed-cooking-microwave-ovens
3741181,Appliances/Parts & Accessories,item_type_keyword:appliance-replacement-parts
3741191,Appliances/Parts & Accessories/Cooktop Parts & Accessories,item_type_keyword:cooktop-accessories
3741201,Appliances/Parts & Accessories/Dishwasher Parts & Accessories,item_type_keyword:dishwasher-replacement-parts
2232353011,Appliances/Parts & Accessories/Dishwasher Parts & Accessories/Baskets,item_type_keyword:replacement-dishwasher-baskets
2232354011,Appliances/Parts & Accessories/Dishwasher Parts & Accessories/Door Springs,item_type_keyword:replacement-dishwasher-door-springs
2232355011,Appliances/Parts & Accessories/Dishwasher Parts & Accessories/Doors,item_type_keyword:replacement-dishwasher-doors
2232356011,Appliances/Parts & Accessories/Dishwasher Parts & Accessories/Handles,item_type_keyword:replacement-dishwasher-handles
2232357011,Appliances/Parts & Accessories/Dishwasher Parts & Accessories/Hoses,item_type_keyword:replacement-dishwasher-hoses
