Node ID,Node Path,Query
2335753011,Cell Phones & Accessories,
2407755011,Cell Phones & Accessories/Accessories,item_type_keyword:cell-phone-accessories
2407756011,Cell Phones & Accessories/Accessories/Accessory Kits,item_type_keyword:cell-phone-combination-packs
2407757011,Cell Phones & Accessories/Accessories/Audio Adapters,item_type_keyword:cell-phone-headset-adapters
2407758011,Cell Phones & Accessories/Accessories/Batteries,item_type_keyword:cell-phone-batteries
2407759011,Cell Phones & Accessories/Accessories/Car Accessories,
1293687011,Cell Phones & Accessories/Accessories/Car Accessories/Bluetooth Car Kits,item_type_keyword:vehicle-wireless-audio-cell-phone-car-kits
2407763011,Cell Phones & Accessories/Accessories/Car Accessories/Car Cradles,item_type_keyword:cell-phone-car-mounts
2407764011,Cell Phones & Accessories/Accessories/Car Accessories/Car Kits,item_type_keyword:cell-phone-car-kits
2407760011,Cell Phones & Accessories/Accessories/Cases & Covers,
2407765011,Cell Phones & Accessories/Accessories/Cases & Covers/Belt Holsters & Clips,item_type_keyword:cell-phone-belt-clips
3081461011,Cell Phones & Accessories/Accessories/Cases & Covers/Cases,item_type_keyword:cell-phone-carrying-cases
2407766011,Cell Phones & Accessories/Accessories/Cases & Covers/Covers & Skins,item_type_keyword:cell-phone-protective-skins
2407767011,Cell Phones & Accessories/Accessories/Cases & Covers/Faceplates,item_type_keyword:cell-phone-faceplates
2407769011,Cell Phones & Accessories/Accessories/Cases & Covers/Phone Socks,item_type_keyword:cell-phone-sock-covers
2407761011,Cell Phones & Accessories/Accessories/Chargers,item_type_keyword:cell-phone-chargers
2407770011,Cell Phones & Accessories/Accessories/Chargers/Car Chargers,item_type_keyword:cell-phone-car-chargers
2407771011,Cell Phones & Accessories/Accessories/Chargers/Desktop Chargers,item_type_keyword:cell-phone-desktop-charging-cradles
2407772011,Cell Phones & Accessories/Accessories/Chargers/International Chargers,item_type_keyword:international-cell-phone-chargers
2407773011,Cell Phones & Accessories/Accessories/Chargers/Wall Chargers,item_type_keyword:standard-cell-phone-chargers
2407774011,Cell Phones & Accessories/Accessories/Data Cables,item_type_keyword:cell-phone-data-cables
2561233011,Cell Phones & Accessories/Accessories/Decals,item_type_keyword:cell-phone-decals
2407775011,Cell Phones & Accessories/Accessories/Headsets,item_type_keyword:cell-phone-headsets
2407776011,Cell Phones & Accessories/Accessories/Headsets/Bluetooth Headsets,item_type_keyword:wireless-cell-phone-headsets
2407777011,Cell Phones & Accessories/Accessories/Headsets/Wired Headsets,item_type_keyword:wired-cell-phone-headsets
2407778011,Cell Phones & Accessories/Accessories/Mounts,item_type_keyword:cell-phone-mounts
2407779011,Cell Phones & Accessories/Accessories/Phone Charms,item_type_keyword:cell-phone-charms
2407780011,Cell Phones & Accessories/Accessories/Replacement Parts,item_type_keyword:replacement-cell-phone-parts
2407781011,Cell Phones & Accessories/Accessories/Screen Protectors,item_type_keyword:cell-phone-screen-protectors
2407782011,Cell Phones & Accessories/Accessories/Signal Boosters,item_type_keyword:cell-phone-antenna-boosters
2407783011,Cell Phones & Accessories/Accessories/Styli,item_type_keyword:cell-phone-styli
2407748011,Cell Phones & Accessories/No-Contract Phones,
2483610011,Cell Phones & Accessories/No-Contract Phones/Broadband,item_type_keyword:prepaid-broadband-data-packages
2483609011,Cell Phones & Accessories/No-Contract Phones/Minutes,item_type_keyword:prepaid-cell-phone-minutes
2483608011,Cell Phones & Accessories/No-Contract Phones/Phones,item_type_keyword:prepaid-cell-phones
3345523011,Cell Phones & Accessories/Sim Cards,item_type_keyword:cell-phone-sim-cards
2407749011,Cell Phones & Accessories/Unlocked Phones,item_type_keyword:unlocked-cell-phones
