Node ID,Node Path,Query,Refinement Link
3238155011,"Patio, Lawn & Garden",,
553632,"Patio, Lawn & Garden/Backyard Birding & Wildlife",,See Available Refinements
3480654011,"Patio, Lawn & Garden/Backyard Birding & Wildlife/Bats",,See Available Refinements
13402071,"Patio, Lawn & Garden/Backyard Birding & Wildlife/Bats/Feeders",item_type_keyword:bat-feeders,See Available Refinements
3480655011,"Patio, Lawn & Garden/Backyard Birding & Wildlife/Bats/Houses",item_type_keyword:bat-houses,See Available Refinements
4532514011,"Patio, Lawn & Garden/Backyard Birding & Wildlife/Birds",,See Available Refinements
13402221,"Patio, Lawn & Garden/Backyard Birding & Wildlife/Birds/Birdbath Accessories",item_type_keyword:birdbath-accessories,See Available Refinements
553636,"Patio, Lawn & Garden/Backyard Birding & Wildlife/Birds/Birdbaths",item_type_keyword:birdbaths,See Available Refinements
13402131,"Patio, Lawn & Garden/Backyard Birding & Wildlife/Birds/Birdhouse Accessories",item_type_keyword:bird-house-accessories,See Available Refinements
553634,"Patio, Lawn & Garden/Backyard Birding & Wildlife/Birds/Birdhouses",item_type_keyword:bird-houses,See Available Refinements
13355671,"Patio, Lawn & Garden/Backyard Birding & Wildlife/Birds/Feeder Accessories",item_type_keyword:wild-bird-feeder-accessories,See Available Refinements
3563979011,"Patio, Lawn & Garden/Backyard Birding & Wildlife/Birds/Feeders",item_type_keyword:wild-bird-feeders,See Available Refinements
13401981,"Patio, Lawn & Garden/Backyard Birding & Wildlife/Birds/Food",,See Available Refinements
13401991,"Patio, Lawn & Garden/Backyard Birding & Wildlife/Birds/Food/Bird Seed",item_type_keyword:wild-bird-birdseed,See Available Refinements
13402001,"Patio, Lawn & Garden/Backyard Birding & Wildlife/Birds/Food/Hummingbird Nectar",item_type_keyword:hummingbird-food,See Available Refinements
13402011,"Patio, Lawn & Garden/Backyard Birding & Wildlife/Birds/Food/Live Meal Worms",item_type_keyword:meal-worms-animal-food,See Available Refinements
13402021,"Patio, Lawn & Garden/Backyard Birding & Wildlife/Birds/Food/Suet",item_type_keyword:suet-bird-feed,See Available Refinements
3480656011,"Patio, Lawn & Garden/Backyard Birding & Wildlife/Butterflies",,See Available Refinements
13402061,"Patio, Lawn & Garden/Backyard Birding & Wildlife/Butterflies/Feeders",item_type_keyword:butterfly-feeders,See Available Refinements
3480657011,"Patio, Lawn & Garden/Backyard Birding & Wildlife/Butterflies/Food",item_type_keyword:butterfly-food,See Available Refinements
3480658011,"Patio, Lawn & Garden/Backyard Birding & Wildlife/Butterflies/Houses",item_type_keyword:butterfly-houses,See Available Refinements
3480659011,"Patio, Lawn & Garden/Backyard Birding & Wildlife/Squirrels",,See Available Refinements
13402051,"Patio, Lawn & Garden/Backyard Birding & Wildlife/Squirrels/Feeders",item_type_keyword:squirrel-feeders,See Available Refinements
3480660011,"Patio, Lawn & Garden/Backyard Birding & Wildlife/Squirrels/Food",item_type_keyword:squirrel-food,See Available Refinements
3480661011,"Patio, Lawn & Garden/Backyard Birding & Wildlife/Squirrels/Houses",item_type_keyword:squirrel-houses,See Available Refinements
4619352011,"Patio, Lawn & Garden/Farm & Ranch",,
5743799011,"Patio, Lawn & Garden/Farm & Ranch/Agricultural Machinery",item_type_keyword:agricultural-machinery,
5743800011,"Patio, Lawn & Garden/Farm & Ranch/Agricultural Machinery/Accessories",item_type_keyword:agricultural-machinery-accessories,
3753981,"Patio, Lawn & Garden/Farm & Ranch/Agricultural Machinery/Augers & Posthole Diggers",item_type_keyword:augers,
3754021,"Patio, Lawn & Garden/Farm & Ranch/Agricultural Machinery/PTO Generators",item_type_keyword:pto-generators,
3754851,"Patio, Lawn & Garden/Farm & Ranch/Agricultural Machinery/Skid Steer Attachments",item_type_keyword:skid-steer-attachments,
3754031,"Patio, Lawn & Garden/Farm & Ranch/Agricultural Machinery/Skid Steers",item_type_keyword:skid-steers
5743801011,"Patio, Lawn & Garden/Farm & Ranch/Agricultural Machinery/Spare & Replacement Parts",item_type_keyword:agricultural-machinery-spare-and-replacement-parts
5743802011,"Patio, Lawn & Garden/Farm & Ranch/Agricultural Machinery/Spare & Replacement Parts/Batteries & Accessories",item_type_keyword:agricultural-machinery-batteries-and-accessories
5743803011,"Patio, Lawn & Garden/Farm & Ranch/Agricultural Machinery/Spare & Replacement Parts/Bearings & Seals",item_type_keyword:agricultural-machinery-bearings-and-seals
5743804011,"Patio, Lawn & Garden/Farm & Ranch/Agricultural Machinery/Spare & Replacement Parts/Belts, Hoses & Pulleys",item_type_keyword:agricultural-machinery-belts-hoses-and-pulleys
5743805011,"Patio, Lawn & Garden/Farm & Ranch/Agricultural Machinery/Spare & Replacement Parts/Brake System",item_type_keyword:agricultural-machinery-brake-system
5743806011,"Patio, Lawn & Garden/Farm & Ranch/Agricultural Machinery/Spare & Replacement Parts/Cables",item_type_keyword:agricultural-machinery-cables
5743807011,"Patio, Lawn & Garden/Farm & Ranch/Agricultural Machinery/Spare & Replacement Parts/Caps",item_type_keyword:agricultural-machinery-caps
5743808011,"Patio, Lawn & Garden/Farm & Ranch/Agricultural Machinery/Spare & Replacement Parts/Engine Cooling & Climate Control",item_type_keyword:agricultural-machinery-engine-cooling-and-climate-control
5743809011,"Patio, Lawn & Garden/Farm & Ranch/Agricultural Machinery/Spare & Replacement Parts/Engines & Engine Parts",item_type_keyword:agricultural-machinery-engines-and-engine-parts
5743810011,"Patio, Lawn & Garden/Farm & Ranch/Agricultural Machinery/Spare & Replacement Parts/Exhaust & Emissions",item_type_keyword:agricultural-machinery-exhaust-and-emissions
5743811011,"Patio, Lawn & Garden/Farm & Ranch/Agricultural Machinery/Spare & Replacement Parts/Filters",item_type_keyword:agricultural-machinery-filters
5743812011,"Patio, Lawn & Garden/Farm & Ranch/Agricultural Machinery/Spare & Replacement Parts/Fuel System",item_type_keyword:agricultural-machinery-fuel-system
5743813011,"Patio, Lawn & Garden/Farm & Ranch/Agricultural Machinery/Spare & Replacement Parts/Gaskets",item_type_keyword:agricultural-machinery-gaskets
5743814011,"Patio, Lawn & Garden/Farm & Ranch/Agricultural Machinery/Spare & Replacement Parts/Hydraulics",item_type_keyword:agricultural-machinery-hydraulics
5743815011,"Patio, Lawn & Garden/Farm & Ranch/Agricultural Machinery/Spare & Replacement Parts/Ignition Parts",item_type_keyword:agricultural-machinery-ignition-parts
5743816011,"Patio, Lawn & Garden/Farm & Ranch/Agricultural Machinery/Spare & Replacement Parts/Lighting & Electrical",item_type_keyword:agricultural-machinery-lighting-and-electrical
5743817011,"Patio, Lawn & Garden/Farm & Ranch/Agricultural Machinery/Spare & Replacement Parts/Motors",item_type_keyword:agricultural-machinery-motors
5743818011,"Patio, Lawn & Garden/Farm & Ranch/Agricultural Machinery/Spare & Replacement Parts/Sensors",item_type_keyword:agricultural-machinery-sensors
5743819011,"Patio, Lawn & Garden/Farm & Ranch/Agricultural Machinery/Spare & Replacement Parts/Shocks, Struts & Suspension",item_type_keyword:agricultural-machinery-shocks-struts-and-suspension
5743820011,"Patio, Lawn & Garden/Farm & Ranch/Agricultural Machinery/Spare & Replacement Parts/Starters & Alternators",item_type_keyword:agricultural-machinery-starters-and-alternators
5743821011,"Patio, Lawn & Garden/Farm & Ranch/Agricultural Machinery/Spare & Replacement Parts/Steering System",item_type_keyword:agricultural-machinery-steering-system
5743822011,"Patio, Lawn & Garden/Farm & Ranch/Agricultural Machinery/Spare & Replacement Parts/Switches & Relays",item_type_keyword:agricultural-machinery-switches-and-relays
