Node ID,Node Path,Query,Refinement Link
468240,Tools & Home Improvement,,
13397451,Tools & Home Improvement/Appliances,,See Available Refinements
3737671,Tools & Home Improvement/Appliances/Air Conditioners & Accessories,item_type_keyword:room-air-conditioners,See Available Refinements
3737761,Tools & Home Improvement/Appliances/Air Conditioners & Accessories/Energy Star Qualified,item_type_keyword:energy-star-qualified-air-conditioners,See Available Refinements
3737741,Tools & Home Improvement/Appliances/Air Conditioners & Accessories/Multiroom,item_type_keyword:multiroom-air-conditioners,See Available Refinements
3737681,Tools & Home Improvement/Appliances/Air Conditioners & Accessories/Parts & Accessories,item_type_keyword:room-air-conditioner-replacement-parts,See Available Refinements
2232419011,Tools & Home Improvement/Appliances/Air Conditioners & Accessories/Parts & Accessories/Fans,item_type_keyword:replacement-room-air-conditioner-fans,See Available Refinements
2232420011,Tools & Home Improvement/Appliances/Air Conditioners & Accessories/Parts & Accessories/Filters,item_type_keyword:replacement-room-air-conditioner-filters,See Available Refinements
2232421011,Tools & Home Improvement/Appliances/Air Conditioners & Accessories/Parts & Accessories/Knobs,item_type_keyword:replacement-room-air-conditioner-knobs,See Available Refinements
2232422011,Tools & Home Improvement/Appliances/Air Conditioners & Accessories/Parts & Accessories/Motors,item_type_keyword:replacement-room-air-conditioner-motors,See Available Refinements
2232423011,Tools & Home Improvement/Appliances/Air Conditioners & Accessories/Parts & Accessories/Power Cords,item_type_keyword:replacement-room-air-conditioner-power-cords,See Available Refinements
1193678,Tools & Home Improvement/Appliances/Air Conditioners & Accessories/Portable,item_type_keyword:portable-air-conditioners,See Available Refinements
3737751,Tools & Home Improvement/Appliances/Air Conditioners & Accessories/Single-Room,item_type_keyword:single-room-air-conditioners,See Available Refinements
3737701,Tools & Home Improvement/Appliances/Air Conditioners & Accessories/Slider Casement,item_type_keyword:slider-casement-air-conditioners,See Available Refinements
3737711,Tools & Home Improvement/Appliances/Air Conditioners & Accessories/Wall,item_type_keyword:through-the-wall-air-conditioners,See Available Refinements
3737721,Tools & Home Improvement/Appliances/Air Conditioners & Accessories/Window,item_type_keyword:window-air-conditioners,See Available Refinements
3741261,Tools & Home Improvement/Appliances/Cooktops,item_type_keyword:cooktops,See Available Refinements
3741271,Tools & Home Improvement/Appliances/Dishwashers,item_type_keyword:dishwashers,See Available Refinements
3741281,Tools & Home Improvement/Appliances/Dishwashers/Built-In Dishwashers,item_type_keyword:built-in-dishwashers,See Available Refinements
3741291,Tools & Home Improvement/Appliances/Dishwashers/Convertible Dishwashers,item_type_keyword:convertible-dishwashers,See Available Refinements
3741301,Tools & Home Improvement/Appliances/Dishwashers/Portable Dishwashers,item_type_keyword:portable-dishwashers,See Available Refinements
