Node ID,Node Path,Query,Refinement Link
3880591,Jewelry,,
3888431,Jewelry/Accessories,,See Available Refinements
13830051,Jewelry/Accessories/Cleaning & Care,item_type_keyword:jewelry-cleaning-and-care-products,See Available Refinements
3743851,Jewelry/Accessories/Jewelry Boxes & Organizers,item_type_keyword:jewelry-organizers,See Available Refinements
3744511,Jewelry/Accessories/Jewelry Boxes & Organizers/Hanging Jewelry Organizers,item_type_keyword:closet-hanging-jewelry-organizers,See Available Refinements
16350281,Jewelry/Accessories/Jewelry Boxes & Organizers/Jewelry Armoires,item_type_keyword:jewelry-armoires,See Available Refinements
16350291,Jewelry/Accessories/Jewelry Boxes & Organizers/Jewelry Boxes,item_type_keyword:jewelry-boxes,See Available Refinements
16350321,Jewelry/Accessories/Jewelry Boxes & Organizers/Jewelry Chests,item_type_keyword:jewelry-chests,See Available Refinements
3888531,Jewelry/Accessories/Jewelry Boxes & Organizers/Jewelry Rolls,item_type_keyword:jewelry-rolls,See Available Refinements
16350341,Jewelry/Accessories/Jewelry Boxes & Organizers/Jewelry Towers,item_type_keyword:jewelry-towers,See Available Refinements
16350351,Jewelry/Accessories/Jewelry Boxes & Organizers/Jewelry Trays,item_type_keyword:jewelry-trays,See Available Refinements
3885271,Jewelry/Anklets,item_type_keyword:anklets,See Available Refinements
3885251,Jewelry/Bracelets,item_type_keyword:bracelets,See Available Refinements
3885281,Jewelry/Bracelets/Bangle,item_type_keyword:bangle-bracelets,See Available Refinements
3885431,Jewelry/Bracelets/Charm,item_type_keyword:charm-bracelets,See Available Refinements
6320645011,Jewelry/Bracelets/Charm/Italian Style,item_type_keyword:italian-style-charm-starter-bracelets,See Available Refinements
6320646011,Jewelry/Bracelets/Charm/Link,item_type_keyword:link-charm-bracelets,See Available Refinements
6320647011,Jewelry/Bracelets/Charm/Snake,item_type_keyword:snake-charm-bracelets,See Available Refinements
3885441,Jewelry/Bracelets/Cuff,item_type_keyword:cuff-bracelets,See Available Refinements
3885451,Jewelry/Bracelets/Identification,item_type_keyword:identification-bracelets,See Available Refinements
3885461,Jewelry/Bracelets/Link,item_type_keyword:link-bracelets,See Available Refinements
3885291,Jewelry/Bracelets/Strand,item_type_keyword:strand-bracelets,See Available Refinements
2738209011,Jewelry/Bracelets/Stretch,item_type_keyword:stretch-bracelets,See Available Refinements
3885481,Jewelry/Bracelets/Tennis,item_type_keyword:tennis-bracelets,See Available Refinements
2738210011,Jewelry/Bracelets/Wrap,item_type_keyword:wrap-bracelets,See Available Refinements
3885491,Jewelry/Brooches & Pins,item_type_keyword:brooches-and-pins,See Available Refinements
3885701,Jewelry/Charms,item_type_keyword:charms,See Available Refinements
6320648011,Jewelry/Charms/Bead,item_type_keyword:bead-charms,See Available Refinements
6320650011,Jewelry/Charms/Clasp,item_type_keyword:clasp-style-charms,See Available Refinements
6320649011,Jewelry/Charms/Italian Style,item_type_keyword:italian-style-single-charms,See Available Refinements
3880601,Jewelry/Children's Jewelry,,See Available Refinements
3880611,Jewelry/Children's Jewelry/Boys' Jewelry,,See Available Refinements
3880801,Jewelry/Children's Jewelry/Boys' Jewelry/Bracelets,target_audience_keywords:boys AND item_type_keyword:bracelets,See Available Refinements
3880851,Jewelry/Children's Jewelry/Boys' Jewelry/Cuff Links,target_audience_keywords:boys AND item_type_keyword:cuff-links,See Available Refinements
3880841,Jewelry/Children's Jewelry/Boys' Jewelry/Necklaces,target_audience_keywords:boys AND item_type_keyword:necklaces,See Available Refinements
3880891,Jewelry/Children's Jewelry/Boys' Jewelry/Rings,target_audience_keywords:boys AND item_type_keyword:rings,See Available Refinements
3880921,Jewelry/Children's Jewelry/Boys' Jewelry/Tie Clips,target_audience_keywords:boys AND item_type_keyword:tie-clips,See Available Refinements
3880961,Jewelry/Children's Jewelry/Girls' Jewelry,,See Available Refinements
3881481,Jewelry/Children's Jewelry/Girls' Jewelry/Anklets,target_audience_keywords:girls AND item_type_keyword:anklets,See Available Refinements
3881461,Jewelry/Children's Jewelry/Girls' Jewelry/Bracelets,target_audience_keywords:girls AND item_type_keyword:bracelets,See Available Refinements
3881491,Jewelry/Children's Jewelry/Girls' Jewelry/Bracelets/Bangle,target_audience_keywords:girls AND item_type_keyword:bangle-bracelets,See Available Refinements
3881501,Jewelry/Children's Jewelry/Girls' Jewelry/Bracelets/Charm,target_audience_keywords:girls AND item_type_keyword:charm-bracelets,See Available Refinements
3881511,Jewelry/Children's Jewelry/Girls' Jewelry/Bracelets/Cuff,target_audience_keywords:girls AND item_type_keyword:cuff-bracelets,See Available Refinements
3881521,Jewelry/Children's Jewelry/Girls' Jewelry/Bracelets/Identification,target_audience_keywords:girls AND item_type_keyword:identification-bracelets,See Available Refinements
3881531,Jewelry/Children's Jewelry/Girls' Jewelry/Bracelets/Link,target_audience_keywords:girls AND item_type_keyword:link-bracelets,See Available Refinements
3881551,Jewelry/Children's Jewelry/Girls' Jewelry/Brooches & Pins,target_audience_keywords:girls AND item_type_keyword:brooches-and-pins,See Available Refinements
3881621,Jewelry/Children's Jewelry/Girls' Jewelry/Earrings,target_audience_keywords:girls AND item_type_keyword:earrings,See Available Refinements
3881641,Jewelry/Children's Jewelry/Girls' Jewelry/Earrings/Ball,target_audience_keywords:girls AND item_type_keyword:ball-earrings,See Available Refinements
3881661,Jewelry/Children's Jewelry/Girls' Jewelry/Earrings/Drop & Dangle,target_audience_keywords:girls AND item_type_keyword:dangle-earrings,See Available Refinements
3881731,Jewelry/Children's Jewelry/Girls' Jewelry/Earrings/Hoop,target_audience_keywords:girls AND item_type_keyword:hoop-earrings,See Available Refinements
3881791,Jewelry/Children's Jewelry/Girls' Jewelry/Earrings/Stud,target_audience_keywords:girls AND item_type_keyword:stud-earrings,See Available Refinements
3881811,Jewelry/Children's Jewelry/Girls' Jewelry/Necklaces & Pendants,,See Available Refinements
3881821,Jewelry/Children's Jewelry/Girls' Jewelry/Necklaces & Pendants/Chains,target_audience_keywords:girls AND item_type_keyword:chain-necklaces,See Available Refinements
3881831,Jewelry/Children's Jewelry/Girls' Jewelry/Necklaces & Pendants/Lockets,target_audience_keywords:girls AND item_type_keyword:locket-necklaces,See Available Refinements
3881851,Jewelry/Children's Jewelry/Girls' Jewelry/Necklaces & Pendants/Pendants,target_audience_keywords:girls AND item_type_keyword:pendant-necklaces,See Available Refinements
3881961,Jewelry/Children's Jewelry/Girls' Jewelry/Rings,target_audience_keywords:girls AND item_type_keyword:rings,See Available Refinements
3885911,Jewelry/Earrings,item_type_keyword:earrings,See Available Refinements
3885931,Jewelry/Earrings/Ball,item_type_keyword:ball-earrings,See Available Refinements
3886191,Jewelry/Earrings/Clip-Ons,item_type_keyword:clip-on-earrings,See Available Refinements
2746357011,Jewelry/Earrings/Cuffs & Wraps,item_type_keyword:ear-cuffs,See Available Refinements
3886081,Jewelry/Earrings/Drop & Dangle,item_type_keyword:dangle-earrings,See Available Refinements
3886111,Jewelry/Earrings/Earring Jackets,item_type_keyword:earring-jackets,See Available Refinements
3886171,Jewelry/Earrings/Hoop,item_type_keyword:hoop-earrings,See Available Refinements
3886231,Jewelry/Earrings/Stud,item_type_keyword:stud-earrings,See Available Refinements
3898891,Jewelry/Jewelry Sets,item_type_keyword:jewelry-sets,See Available Refinements
