Node ID,Node Path,Query,Refinement Link
672124011,Shoes,,
679182011,Shoes/Boys,,See Available Refinements
6127768011,Shoes/Boys/Athletic,,See Available Refinements
3420512011,Shoes/Boys/Athletic/Baseball & Softball,,See Available Refinements
3420513011,Shoes/Boys/Athletic/Baseball & Softball/Baseball,department_name:( boys OR baby-boys ) AND item_type_keyword:baseball-shoes,See Available Refinements
3420514011,Shoes/Boys/Athletic/Baseball & Softball/Softball,department_name:( boys OR baby-boys ) AND item_type_keyword:softball-shoes,See Available Refinements
3420515011,Shoes/Boys/Athletic/Basketball,department_name:( boys OR baby-boys ) AND item_type_keyword:basketball-shoes,See Available Refinements
3420517011,Shoes/Boys/Athletic/Boating,department_name:( boys OR baby-boys ) AND item_type_keyword:athletic-boating-shoes,See Available Refinements
3420519011,Shoes/Boys/Athletic/Bowling,department_name:( boys OR baby-boys ) AND item_type_keyword:bowling-shoes,See Available Refinements
3420518011,Shoes/Boys/Athletic/Boxing,department_name:( boys OR baby-boys ) AND item_type_keyword:boxing-shoes,See Available Refinements
3420520011,Shoes/Boys/Athletic/Cheerleading,department_name:( boys OR baby-boys ) AND item_type_keyword:cheerleading-shoes,See Available Refinements
3420522011,Shoes/Boys/Athletic/Cricket,department_name:( boys OR baby-boys ) AND item_type_keyword:cricket-shoes,See Available Refinements
3420524011,Shoes/Boys/Athletic/Cycling,department_name:( boys OR baby-boys ) AND item_type_keyword:cycling-footwear,See Available Refinements
3420525011,Shoes/Boys/Athletic/Dance,department_name:( boys OR baby-boys ) AND item_type_keyword:dance-shoes,See Available Refinements
3420526011,Shoes/Boys/Athletic/Equestrian Sport Boots,department_name:( boys OR baby-boys ) AND item_type_keyword:equestrian-boots,See Available Refinements
3420527011,Shoes/Boys/Athletic/Field Hockey & Lacrosse,,See Available Refinements
3420528011,Shoes/Boys/Athletic/Field Hockey & Lacrosse/Field Hockey,department_name:( boys OR baby-boys ) AND item_type_keyword:field-hockey-shoes,See Available Refinements
3420529011,Shoes/Boys/Athletic/Field Hockey & Lacrosse/Lacrosse,department_name:( boys OR baby-boys ) AND item_type_keyword:lacrosse-shoes,See Available Refinements
3420523011,Shoes/Boys/Athletic/Fitness & Cross-Training,department_name:( boys OR baby-boys ) AND item_type_keyword:cross-trainer-shoes,See Available Refinements
3420530011,Shoes/Boys/Athletic/Football,department_name:( boys OR baby-boys ) AND item_type_keyword:football-shoes,See Available Refinements
