Node ID,Node Path,Query,Refinement Link
491286,Software,,
5223260011,Software/Accounting & Finance,,See Available Refinements
229536,Software/Accounting & Finance/Business Accounting & Finance,item_type_keyword:accounting-software,See Available Refinements
283001,Software/Accounting & Finance/Business Accounting & Finance/Accounting,item_type_keyword:general-accounting-software,See Available Refinements
283002,Software/Accounting & Finance/Business Accounting & Finance/Check Printing,item_type_keyword:check-printing-software,See Available Refinements
15699241,Software/Accounting & Finance/Business Accounting & Finance/Inventory Management,item_type_keyword:inventory-management-software,See Available Refinements
283000,Software/Accounting & Finance/Business Accounting & Finance/Payroll,item_type_keyword:payroll-software,See Available Refinements
11024791,Software/Accounting & Finance/Business Accounting & Finance/Transaction Processing,item_type_keyword:transaction-processing-software,See Available Refinements
229540,Software/Accounting & Finance/Personal Finance,item_type_keyword:financial-software,See Available Refinements
283016,Software/Accounting & Finance/Personal Finance/Investment Tools,item_type_keyword:investment-tool-software,See Available Refinements
283015,Software/Accounting & Finance/Personal Finance/Money Management,item_type_keyword:money-management-software,See Available Refinements
229535,Software/Business & Office,item_type_keyword:business-and-office-software,See Available Refinements
5223261011,Software/Business & Office/Business & Marketing Plans,,See Available Refinements
15699371,Software/Business & Office/Business & Marketing Plans/Business Planning,item_type_keyword:business-plan-software,See Available Refinements
283011,Software/Business & Office/Business & Marketing Plans/Marketing Plans,item_type_keyword:marketing-presentation-software,See Available Refinements
229636,Software/Business & Office/Communication,item_type_keyword:communication-software,See Available Refinements
289967,Software/Business & Office/Communication/Fax,item_type_keyword:fax-software,See Available Refinements
496912,Software/Business & Office/Communication/Instant Messaging,item_type_keyword:instant-messaging-software,See Available Refinements
289968,Software/Business & Office/Communication/Remote Access,item_type_keyword:remote-access-software,See Available Refinements
289969,Software/Business & Office/Communication/Terminal Emulations,item_type_keyword:emulation-software,See Available Refinements
229678,Software/Business & Office/Communication/Voice Recognition,item_type_keyword:voice-recognition-software,See Available Refinements
229543,Software/Business & Office/Contact Management,item_type_keyword:contact-management-software,See Available Refinements
229668,Software/Business & Office/Database Management,item_type_keyword:database-programming-software,See Available Refinements
290547,Software/Business & Office/Database Management/DB2,item_type_keyword:db2-programming-languages,See Available Refinements
290546,Software/Business & Office/Database Management/Filemaker,item_type_keyword:filemaker-programming-software,See Available Refinements
290544,Software/Business & Office/Database Management/Oracle,item_type_keyword:oracle-programming-software,See Available Refinements
290545,Software/Business & Office/Database Management/SQL,item_type_keyword:sql-programming-software,See Available Refinements
229538,Software/Business & Office/Document Management,item_type_keyword:document-management-software,See Available Refinements
229639,Software/Business & Office/E-mail,item_type_keyword:email-software,See Available Refinements
15699361,Software/Business & Office/Legal,item_type_keyword:legal-software,See Available Refinements
283891,Software/Business & Office/Office Suites,item_type_keyword:business-management-software,See Available Refinements
229541,Software/Business & Office/Presentation,item_type_keyword:presentation-software,See Available Refinements
229542,Software/Business & Office/Project Management,item_type_keyword:project-management-software,See Available Refinements
283013,Software/Business & Office/Reports,item_type_keyword:report-and-form-software,See Available Refinements
229544,Software/Business & Office/Spreadsheet,item_type_keyword:spreadsheet-software,See Available Refinements
229546,Software/Business & Office/Training,item_type_keyword:business-application-training-software,See Available Refinements
229678,Software/Business & Office/Voice Recognition,item_type_keyword:voice-recognition-software,See Available Refinements
229547,Software/Business & Office/Word Processing,item_type_keyword:word-processing-software,See Available Refinements
229548,Software/Children's,item_type_keyword:childrens-software,See Available Refinements
229549,Software/Children's/Art & Creativity,item_type_keyword:childrens-software AND thesaurus_subject_keywords:arts-and-crafts,See Available Refinements
229550,Software/Children's/Early Learning,item_type_keyword:childrens-early-learning-software,See Available Refinements
229552,Software/Children's/Games,item_type_keyword:childrens-software-games,See Available Refinements
229554,Software/Children's/Geography,item_type_keyword:childrens-software AND thesaurus_subject_keywords:social-studies,See Available Refinements
229558,Software/Children's/Math,item_type_keyword:childrens-software AND thesaurus_subject_keywords:mathematics,See Available Refinements
229559,Software/Children's/Reading & Language,item_type_keyword:childrens-software AND thesaurus_subject_keywords:reading,See Available Refinements
229561,Software/Children's/Science & Nature,item_type_keyword:childrens-software AND thesaurus_subject_keywords:science,See Available Refinements
229557,Software/Children's/Thinking & Problem Solving,item_type_keyword:childrens-software AND thesaurus_subject_keywords:problem-solving,See Available Refinements
229677,Software/Computer Security,item_type_keyword:security-software,See Available Refinements
2251986011,Software/Computer Security/Antivirus,item_type_keyword:antivirus-software,See Available Refinements
2251987011,Software/Computer Security/Internet Security,item_type_keyword:internet-security-and-filtering-software,See Available Refinements
2251988011,Software/Computer Security/Parental Control,item_type_keyword:parental-control-software,See Available Refinements
229563,Software/Education & Reference,item_type_keyword:education-and-reference-software,See Available Refinements
229565,Software/Education & Reference/Encyclopedias & Dictionaries,item_type_keyword:( encyclopedia-software OR  dictionary-software ),See Available Refinements
229568,Software/Education & Reference/History,item_type_keyword:education-and-reference-software AND thesaurus_subject_keywords:history,See Available Refinements
229569,Software/Education & Reference/Maps & Atlases,item_type_keyword:education-and-reference-software AND thesaurus_subject_keywords:maps,See Available Refinements
5304309011,Software/Education & Reference/Math,item_type_keyword:education-and-reference-software AND thesaurus_subject_keywords:math,
229634,Software/Education & Reference/Religion,item_type_keyword:education-and-reference-software AND thesaurus_subject_keywords:religion,See Available Refinements
229570,Software/Education & Reference/Science,item_type_keyword:education-and-reference-software AND thesaurus_subject_keywords:science,See Available Refinements
497644,Software/Education & Reference/Script & Screenwriting,item_type_keyword:education-and-reference-software AND thesaurus_subject_keywords:script-and-screen-writing,See Available Refinements
229572,Software/Education & Reference/Test Preparation,item_type_keyword:test-preparation-software,See Available Refinements
229573,Software/Education & Reference/Typing,item_type_keyword:typing-instruction-software,See Available Refinements
1294826011,Software/Games,,See Available Refinements
1294478011,Software/Games/Mac Games,,See Available Refinements
265748,Software/Games/Mac Games/Action,item_type_keyword:computer-video-games AND hardware_platform:mac AND genre:action-game-genre,See Available Refinements
10988101,Software/Games/Mac Games/Action/Fighting,item_type_keyword:computer-video-games AND hardware_platform:mac AND genre:fighting-action-game-genre,See Available Refinements
10987741,Software/Games/Mac Games/Action/Military & Espionage,item_type_keyword:computer-video-games AND hardware_platform:mac AND genre:military-and-espionage-action-game-genre,See Available Refinements
10987761,Software/Games/Mac Games/Action/Shooter,item_type_keyword:computer-video-games AND hardware_platform:mac AND genre:shooter-action-game-genre,See Available Refinements
265751,Software/Games/Mac Games/Adventure,item_type_keyword:computer-video-games AND hardware_platform:mac AND genre:adventure-game-genre,See Available Refinements
10988141,Software/Games/Mac Games/Racing & Flying,item_type_keyword:computer-video-games AND hardware_platform:mac AND genre:racing-game-genre,See Available Refinements
360733011,Software/Games/Mac Games/Rhythm,item_type_keyword:computer-video-games AND hardware_platform:mac AND genre:rhythm-game-genre,See Available Refinements
1251198011,Software/Games/Mac Games/Rhythm/Dancing,item_type_keyword:computer-video-games AND hardware_platform:mac AND genre:dancing-game-genre,See Available Refinements
1251200011,Software/Games/Mac Games/Rhythm/Musical Instruments,item_type_keyword:computer-video-games AND hardware_platform:mac AND genre:musical-instrument-game-genre,See Available Refinements
1251199011,Software/Games/Mac Games/Rhythm/Singing & Karaoke,item_type_keyword:computer-video-games AND hardware_platform:mac AND genre:singing-game-genre,See Available Refinements
10988221,Software/Games/Mac Games/Role-Playing,item_type_keyword:computer-video-games AND hardware_platform:mac AND genre:role-playing-game-genre,See Available Refinements
265752,Software/Games/Mac Games/Simulation,item_type_keyword:computer-video-games AND hardware_platform:mac AND genre:simulation-game-genre,See Available Refinements
10987851,Software/Games/Mac Games/Simulation/Driving,item_type_keyword:computer-video-games AND hardware_platform:mac AND genre:driving-simulation-game-genre,See Available Refinements
10987861,Software/Games/Mac Games/Simulation/Flight,item_type_keyword:computer-video-games AND hardware_platform:mac AND genre:flight-simulation-game-genre,See Available Refinements
10987891,Software/Games/Mac Games/Simulation/Life,item_type_keyword:computer-video-games AND hardware_platform:mac AND genre:life-simulation-game-genre,See Available Refinements
265753,Software/Games/Mac Games/Sports,item_type_keyword:computer-video-games AND hardware_platform:mac AND genre:sports-and-outdoors-game-genre,See Available Refinements
10987911,Software/Games/Mac Games/Sports/Baseball,item_type_keyword:computer-video-games AND hardware_platform:mac AND genre:baseball-game-genre,See Available Refinements
10987921,Software/Games/Mac Games/Sports/Basketball,item_type_keyword:computer-video-games AND hardware_platform:mac AND genre:basketball-game-genre,See Available Refinements
10987931,Software/Games/Mac Games/Sports/Boarding & Blading,item_type_keyword:computer-video-games AND hardware_platform:mac AND genre:skateboarding-game-genre,See Available Refinements
10987941,Software/Games/Mac Games/Sports/Boxing,item_type_keyword:computer-video-games AND hardware_platform:mac AND genre:boxing-game-genre,See Available Refinements
10987951,Software/Games/Mac Games/Sports/Football,item_type_keyword:computer-video-games AND hardware_platform:mac AND genre:football-game-genre,See Available Refinements
10987961,Software/Games/Mac Games/Sports/Golf,item_type_keyword:computer-video-games AND hardware_platform:mac AND genre:golf-game-genre,See Available Refinements
